Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3850000,1.472103,-0.009461712,209.13333333333333,1201.7839293767813,0.3210666607444485,0.3210666607444485,1.0
3860000,1.4722342,0.00075957674,394.75471698113205,1206.9307663892598,0.3759189155707891,0.3759189155707891,1.0
3870000,1.472461,0.011627399,451.15909090909093,1208.2102970675833,-0.7590333780584236,-0.7590333780584236,1.0
3880000,1.4727467,-0.0028451507,379.1272727272727,1210.5785901832883,-0.42267501617316156,-0.42267501617316156,1.0
3890000,1.4731919,0.0028558099,389.18518518518516,1212.7960663259485,0.590641023686681,0.590641023686681,1.0
3900000,1.4730555,0.027838517,363.4,1214.3321209607225,0.15297499804582912,0.15297499804582912,1.0
3910000,1.4730861,0.028430969,428.17021276595744,1213.6182734357076,-0.5176562629203545,-0.5176562629203545,1.0
3920000,1.4734939,0.0017309934,391.5098039215686,1216.3576996465501,-0.24552779401549035,-0.24552779401549035,1.0
3930000,1.473497,-0.01740264,382.82142857142856,1217.7314120662586,0.24963411915956474,0.24963411915956474,1.0
3940000,1.4731679,-0.01475681,384.08,1220.7775743560862,0.003257143231374877,0.003257143231374877,1.0
3950000,1.4730023,-0.012598,391.0188679245283,1222.985499018274,0.2355263302053668,0.2355263302053668,1.0
3960000,1.4732076,-0.019034833,381.72222222222223,1224.4392384090445,-0.2990789569571222,-0.2990789569571222,1.0
3970000,1.4729732,-0.014138006,383.06,1226.091381954771,0.3394722090257953,0.3394722090257953,1.0
3980000,1.4728959,0.014883875,408.02,1227.6750721010492,0.785942832726453,0.785942832726453,1.0
3990000,1.4723607,0.033186805,395.4313725490196,1230.8050424978164,-0.6096944650635123,-0.6096944650635123,1.0
4000000,1.4724281,0.025621034,398.8909090909091,1233.6654522252393,-0.3418750095064752,-0.3418750095064752,1.0
4010000,1.4728034,-0.009442462,389.72727272727275,1231.5712593452383,-0.40225002670194954,-0.40225002670194954,1.0
4020000,1.4732038,-0.052090827,360.76785714285717,1234.2419126173738,0.29297560026369446,0.29297560026369446,1.0
4030000,1.4741011,-0.02798051,279.52777777777777,1237.116617586845,0.1397777651436627,0.1397777651436627,1.0
4040000,1.4746507,-0.03301538,397.32,1237.9220298951645,-0.2629143211724503,-0.2629143211724503,1.0
4050000,1.4745506,-0.043416128,356.12,1239.157288948616,-0.41699996776878834,-0.41699996776878834,1.0
4060000,1.475242,-0.060591903,409.61224489795916,1237.5522479157046,-2.053466811248412,-2.053466811248412,1.0
4070000,1.4761125,-0.093579724,352.23728813559325,1235.978611745545,-2.1619334761984645,-2.1619334761984645,1.0
4080000,1.4758348,-0.12566596,334.0,1231.3741078377097,-1.7587334710794191,-1.7587334710794191,1.0
4090000,1.474926,-0.1428797,388.03921568627453,1227.7930535759158,-2.075400148332119,-2.075400148332119,1.0
4100000,1.4776025,-0.16994299,394.56,1225.4387221028824,-2.150666814103412,-2.150666814103412,1.0
4110000,1.4767371,-0.18514173,378.6034482758621,1225.1004648018013,-1.694266792278116,-1.694266792278116,1.0
4120000,1.4780937,-0.1922883,409.74,1223.4982896574304,-1.6230001456337049,-1.6230001456337049,1.0
4130000,1.4769554,-0.19940814,357.2456140350877,1221.5405833391897,-2.0122668222834665,-2.0122668222834665,1.0
4140000,1.4764202,-0.21004374,371.03846153846155,1218.919763237941,-2.1518001404901343,-2.1518001404901343,1.0
4150000,1.4777083,-0.22118266,355.65,1216.8160532094041,-1.5633334731372694,-1.5633334731372694,1.0
4160000,1.4782778,-0.22278799,369.5,1213.1201642241972,-1.8463334512275955,-1.8463334512275955,1.0
4170000,1.4773364,-0.22761346,385.55102040816325,1208.1248726901404,-2.1024668119226892,-2.1024668119226892,1.0
4180000,1.4780673,-0.23587422,390.0,1204.9409584975012,-1.7041334679660698,-1.7041334679660698,1.0
4190000,1.4800466,-0.23892987,378.0740740740741,1203.6421742218445,-2.008933496203584,-2.008933496203584,1.0
4200000,1.4807341,-0.24257946,365.58490566037733,1201.8369940644516,-2.313533460938682,-2.313533460938682,1.0
4210000,1.4804275,-0.25134072,375.8474576271187,1201.8369940644516,-1.851846312208531,-1.851846312208531,1.0
4220000,1.4807956,-0.25721186,356.50847457627117,1199.9390289560206,-2.2441429839070355,-2.2441429839070355,1.0
4230000,1.4823271,-0.2591134,247.82051282051282,None,-1.767900155298412,-1.767900155298412,1.0
4240000,1.483361,-0.26389793,356.43859649122805,1199.0501122358323,-2.244266815204173,-2.244266815204173,1.0
4250000,1.4824172,-0.2694975,341.27450980392155,1200.069281737414,-0.31082226923770373,-0.31082226923770373,1.0
4260000,1.4833773,-0.27011338,366.9107142857143,1204.712643033619,-1.1354146665416476,-1.1354146665416476,1.0
4270000,1.485147,-0.26404935,356.32758620689657,1205.9391937771536,-0.12104652682319283,-0.12104652682319283,1.0
4280000,1.4817082,-0.24182807,403.8627450980392,1209.865640956465,-0.013805590958024064,-0.013805590958024064,1.0
4290000,1.4799091,-0.19720723,407.9591836734694,1213.9922877368133,0.3298823029788978,0.3298823029788978,1.0
4300000,1.481732,-0.13732539,371.07142857142856,1224.1573634201068,0.8771706897447386,0.8771706897447386,1.0
4310000,1.4858328,-0.04045264,396.04,1227.5888590095278,0.14214281902781556,0.14214281902781556,1.0
4320000,1.4870845,-0.028510107,422.7391304347826,1229.7050617570421,0.5202902869711961,0.5202902869711961,1.0
4330000,1.4843477,-0.0008080481,379.62264150943395,1232.0922340448506,-0.2794210596322572,-0.2794210596322572,1.0
4340000,1.4882526,-0.00324264,386.0175438596491,1234.5094266597457,-0.6493095506115684,-0.6493095506115684,1.0
4350000,1.4873412,-0.028772315,384.40816326530614,1235.7615723909082,-0.24335298177731388,-0.24335298177731388,1.0
